AL627309.1	0	0.01	0	0	0.01	0	0.01	0	0.01	0.01	0	0.01	0	0.01	0	0	0	0	0
AL627309.5	0.02	0.01	0.01	0.02	0.01	0.01	0	0.01	0.01	0.06	0.01	0	0	0	0	0.01	0	0	0
AP006222.2	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0
LINC01409	0.11	0.17	0.08	0.15	0.05	0.12	0.14	0.31	0.42	0.12	0.38	0.08	0.29	0.17	0.05	0.25	0.09	0.23	0
FAM87B	0	0	0	0.01	0	0	0	0	0.01	0.01	0.02	0	0	0	0.01	0	0	0	0
LINC01128	0.15	0.18	0.14	0.28	0.24	0.19	0.08	0.33	0.29	0.16	0.45	0.17	0.4	0.2	0.17	0.21	0.26	0	0.12
LINC00115	0.05	0.04	0.03	0.03	0.02	0.03	0.03	0.04	0.02	0	0.08	0.02	0	0.01	0.03	0	0.05	0.23	0
FAM41C	0.03	0.03	0.02	0.05	0.02	0.02	0.05	0.03	0.01	0	0.03	0.06	0.05	0.03	0.01	0.03	0	0	0
AL645608.2	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0
LINC02593	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.51	0	0
SAMD11	0.01	0	0.01	0.01	0.02	0	0	0	0.04	0	0	0	0.02	0	0	0	1.03	0	0
NOC2L	0.25	0.29	0.22	0.17	0.3	0.37	0.26	0.24	0.33	0.23	0.32	0.27	0.11	0.23	0.13	0.33	0.29	0.48	0.1
KLHL17	0.05	0.02	0.01	0.02	0.03	0.03	0.09	0.01	0.02	0.01	0.02	0.03	0.02	0.03	0.03	0.02	0	0	0
PLEKHN1	0.02	0.03	0.04	0.04	0	0.01	0.01	0	0	0	0.01	0	0.03	0	0	0	0	0	0
PERM1	0	0	0	0	0	0	0	0	0.03	0.01	0	0	0.06	0	0	0	0	0	0
AL645608.7	0.01	0	0	0	0.06	0.01	0	0.02	0.55	0.08	0	0.22	0	0.17	0.08	0	0	0.16	0
HES4	0.05	0.11	0.04	0.12	1.11	0.06	0.02	0.17	10.88	0.61	0.15	2.1	0.01	0.71	0.25	0.07	2.22	0.16	0.03
ISG15	1.3	1.32	1.11	1.61	2.46	1.1	1.32	0.98	1.05	1.96	1.26	0.29	0.49	0.39	1.85	0.77	1.02	0.32	0.71
AGRN	0.01	0.02	0.01	0.01	0.52	0.02	0.03	0.02	0.11	0.01	0	0.98	0	0.01	0.06	0.01	0.4	0	0.03
RNF223	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0
C1orf159	0.06	0.07	0.06	0.06	0.08	0.05	0.09	0.07	0.06	0.06	0.07	0.08	0.03	0.07	0.03	0.01	0.25	0	0.03
AL390719.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0
TTLL10	0	0	0	0.01	0	0.01	0	0	0	0	0.03	0.06	0.07	0	0	0	0	0	0
TNFRSF18	0.07	0.25	0.41	0.32	0.02	0.07	0.07	0.02	0.01	0	0.4	0	0.13	0	0	0	0	0.16	0.1
TNFRSF4	0.06	0.22	0.55	0.17	0.26	0.09	0.05	0.06	0.01	0	0.27	0	0.14	0.03	0	0	0.14	0.19	0.05
