"Input ID","Primary Prediction","Primary Tissue","Primary Score","Secondary Prediction","Secondary Tissue","Secondary Score"
"1","CD8T--liver","CD8T--liver","0.847","memory CD4 T--liver","memory CD4 T--liver","0.804"
"2","memory CD4 T--liver","memory CD4 T--liver","0.85","CD8T--liver","CD8T--liver","0.812"
"3","memory CD4 T--liver","memory CD4 T--liver","0.832","naive CD4 T--liver","naive CD4 T--liver","0.817"
"4","memory CD4 T--liver","memory CD4 T--liver","0.82","naive CD4 T--liver","naive CD4 T--liver","0.76"
"5","arterial EC--liver","arterial EC--liver","0.866","venous EC--liver","venous EC--liver","0.828"
"6","CD8T--liver","CD8T--liver","0.8","GZMK NK--liver","GZMK NK--liver","0.799"
"7","CD16 NK--liver","CD16 NK--liver","0.84","gd T--liver","gd T--liver","0.77"
"8","CD16 monocyte--liver","CD16 monocyte--liver","0.806","cDC--liver","cDC--liver","0.784"
"9","SMC--liver","SMC--liver","0.868","pericyte--liver","pericyte--liver","0.706"
"10","CD14 monocyte--liver","CD14 monocyte--liver","0.889","CD16 monocyte--liver","CD16 monocyte--liver","0.864"
"11","GZMK NK--liver","GZMK NK--liver","0.841","CD8T--liver","CD8T--liver","0.685"
"12","cholangiocyte--liver","cholangiocyte--liver","0.801","proliferation cholangiocyte--liver","proliferation cholangiocyte--liver","0.682"
"13","B--liver","B--liver","0.836","naive CD4 T--liver","naive CD4 T--liver","0.587"
"14","pDC--liver","pDC--liver","0.904","B--liver","B--liver","0.573"
"15","macrophage--liver","macrophage--liver","0.792","CD16 monocyte--liver","CD16 monocyte--liver","0.753"
"16","cDC--liver","cDC--liver","0.785","CD16 monocyte--liver","CD16 monocyte--liver","0.683"
"17","fibroblast--liver","fibroblast--liver","0.787","SMC--liver","SMC--liver","0.636"
"18","memory CD4 T--liver","memory CD4 T--liver","0.655","CD8T--liver","CD8T--liver","0.622"
"19","GSTA2+ hepatocyte--liver","GSTA2+ hepatocyte--liver","0.835","macrophage--liver","macrophage--liver","0.546"
