cluster,celltype_full,score,score_rank,db,species,organ,celltype,n_genes
0,Rheaume et al.Nat Commun.22 | Retina | Mouse | CellMarker,0.7385043257,1,CellMarker,Mouse,Retina,Rheaume et al.Nat Commun.22,7
0,Naive CD4+ T cell | Peripheral blood | Human | CellMarker,0.7373939063,2,CellMarker,Human,Peripheral blood,Naive CD4+ T cell,22
0,Rheaume et al.Nat Commun.30 | Retina | Mouse | CellMarker,0.7206579761,3,CellMarker,Mouse,Retina,Rheaume et al.Nat Commun.30,5
0,T cell | Kidney | Mouse | CellMarker,0.7026861183,4,CellMarker,Mouse,Kidney,T cell,11
0,Idiopathic pulmonary fibrosis cell | Lung | Human | CellMarker,0.6677785774,5,CellMarker,Human,Lung,Idiopathic pulmonary fibrosis cell,5
0,Hepatocyte | Liver | Human | CellMarker,0.6516639771,6,CellMarker,Human,Liver,Hepatocyte,5
0,Acinar cells | Pancreas | Mouse | PanglaoDB,0.6433861412,7,PanglaoDB,Mouse,Pancreas,Acinar cells,8
0,Eosinophils_NOVERSHTERN_3 | Human | xCell,0.6430951231,8,xCell,Human,,Eosinophils_NOVERSHTERN_3,6
0,Bronchoalveolar system | Human | TISSUES,0.6374563765,9,TISSUES,Human,,Bronchoalveolar system,7
0,Naive CD8+ T cell | Peripheral blood | Human | CellMarker,0.633364779,10,CellMarker,Human,Peripheral blood,Naive CD8+ T cell,69
0,osteoblast_day21 | SaVanT,0.628894347,11,SaVanT,,,osteoblast_day21,12
0,Naive T cell | Peripheral blood | Human | CellMarker,0.6281241628,12,CellMarker,Human,Peripheral blood,Naive T cell,5
0,Nasal polyp | Human | TISSUES,0.6216534305,13,TISSUES,Human,,Nasal polyp,5
0,HSC_FANTOM_1 | Human | xCell,0.6197589346,14,xCell,Human,,HSC_FANTOM_1,6
0,Preadipocytes_FANTOM_2 | Human | xCell,0.6153827049,15,xCell,Human,,Preadipocytes_FANTOM_2,5
0,HBA_Pituitary | Human | SaVanT,0.6120223104,16,SaVanT,Human,,HBA_Pituitary,19
0,Keratinocytes_ENCODE_1 | Human | xCell,0.6079293546,17,xCell,Human,,Keratinocytes_ENCODE_1,5
0,stomach | SaVanT,0.6054414641,18,SaVanT,,,stomach,13
0,Naive T cell | Blood | Human | CellMarker,0.6042730528,19,CellMarker,Human,Blood,Naive T cell,5
0,intestine_large | SaVanT,0.5902053357,20,SaVanT,,,intestine_large,12
0,Epithelial cell | Kidney | Human | CellMarker,0.5883836144,21,CellMarker,Human,Kidney,Epithelial cell,5
0,CD4plus_T-cell | SaVanT,0.5882092982,22,SaVanT,,,CD4plus_T-cell,50
0,Erythrocytes_BLUEPRINT_1 | Human | xCell,0.5852556201,23,xCell,Human,,Erythrocytes_BLUEPRINT_1,5
0,Erythrocytes_BLUEPRINT_2 | Human | xCell,0.5852556201,24,xCell,Human,,Erythrocytes_BLUEPRINT_2,5
0,Erythrocytes_BLUEPRINT_3 | Human | xCell,0.5852556201,25,xCell,Human,,Erythrocytes_BLUEPRINT_3,5
0,Erythrocytes_HPCA_2 | Human | xCell,0.5852556201,26,xCell,Human,,Erythrocytes_HPCA_2,5
0,Erythrocytes_HPCA_3 | Human | xCell,0.5852556201,27,xCell,Human,,Erythrocytes_HPCA_3,5
0,ZHONG_PFC_C2_THY1_POS_OPC | Human | MSigDB,0.5851573058,28,MSigDB,Human,,ZHONG_PFC_C2_THY1_POS_OPC,10
0,Megakaryocytes_BLUEPRINT_2 | Human | xCell,0.5834385182,29,xCell,Human,,Megakaryocytes_BLUEPRINT_2,7
0,CD4+ Tcm_NOVERSHTERN_3 | Human | xCell,0.5832288673,30,xCell,Human,,CD4+ Tcm_NOVERSHTERN_3,34
0,Platelets_HPCA_3 | Human | xCell,0.5831818604,31,xCell,Human,,Platelets_HPCA_3,8
0,Megakaryocytes_BLUEPRINT_1 | Human | xCell,0.5739515204,32,xCell,Human,,Megakaryocytes_BLUEPRINT_1,5
0,Endothelial cells (blood brain barrier) | Vasculature | Human | PanglaoDB,0.5708191405,33,PanglaoDB,Human,Vasculature,Endothelial cells (blood brain barrier),7
0,Endothelial cells (blood brain barrier) | Vasculature | Mouse | PanglaoDB,0.5708191405,34,PanglaoDB,Mouse,Vasculature,Endothelial cells (blood brain barrier),7
0,Bile | Human | TISSUES,0.5690769284,35,TISSUES,Human,,Bile,8
0,Digestive juice | Human | TISSUES,0.5690769284,36,TISSUES,Human,,Digestive juice,8
0,HBA_Trachea | Human | SaVanT,0.5686489184,37,SaVanT,Human,,HBA_Trachea,26
0,min6 | SaVanT,0.5637148218,38,SaVanT,,,min6,12
0,Clara cell | Lung | Mouse | CellMarker,0.56204087,39,CellMarker,Mouse,Lung,Clara cell,10
0,Lep_BT | SaVanT,0.5596608486,40,SaVanT,,,Lep_BT,10
0,Eosinophils_BLUEPRINT_3 | Human | xCell,0.5587457512,41,xCell,Human,,Eosinophils_BLUEPRINT_3,7
0,cerebral_cortex_prefrontal | SaVanT,0.5574737093,42,SaVanT,,,cerebral_cortex_prefrontal,20
0,Mesenchymal stromal cell | Adipose tissue | Human | CellMarker,0.5561428907,43,CellMarker,Human,Adipose tissue,Mesenchymal stromal cell,5
0,Endothelial cell (Renal Clear Cell Carcinoma) | Human | CellMarker,0.5548540852,44,CellMarker,Human,,Endothelial cell (Renal Clear Cell Carcinoma),7
0,ciliary_bodies | SaVanT,0.5488898533,45,SaVanT,,,ciliary_bodies,15
0,CD4+ naive T-cells_IRIS_1 | Human | xCell,0.5466890121,46,xCell,Human,,CD4+ naive T-cells_IRIS_1,13
0,Lake et al.Science.Ex4 | Brain | Human | CellMarker,0.545587893,47,CellMarker,Human,Brain,Lake et al.Science.Ex4,6
0,CD4+ T-cells_FANTOM_1 | Human | xCell,0.5445026007,48,xCell,Human,,CD4+ T-cells_FANTOM_1,20
0,CD3plus_T-cell | SaVanT,0.5433817269,49,SaVanT,,,CD3plus_T-cell,49
0,GMP_HPCA_2 | Human | xCell,0.5428034359,50,xCell,Human,,GMP_HPCA_2,7
0,Nuocytes | Immune system | Human | PanglaoDB,0.5412738818,51,PanglaoDB,Human,Immune system,Nuocytes,6
0,Nuocytes | Immune system | Mouse | PanglaoDB,0.5412738818,52,PanglaoDB,Mouse,Immune system,Nuocytes,6
0,Respiratory epithelium | Human | TISSUES,0.5408684764,53,TISSUES,Human,,Respiratory epithelium,6
0,cornea | SaVanT,0.5387487659,54,SaVanT,,,cornea,19
0,HPCA_Keratinocytes | Human | SaVanT,0.5351795168,55,SaVanT,Human,,HPCA_Keratinocytes,15
0,Eosinophils_BLUEPRINT_1 | Human | xCell,0.5338066955,56,xCell,Human,,Eosinophils_BLUEPRINT_1,5
0,MA_Tnaive | Human | SaVanT,0.5329332836,57,SaVanT,Human,,MA_Tnaive,51
0,MA_iTreg_IL-2 | Human | SaVanT,0.5319849216,58,SaVanT,Human,,MA_iTreg_IL-2,49
