celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS,51,6,8.22293054599167e-12,2.49894859292687e-08
CORD BLOOD | ARCHS4,ARCHS4,,,CORD BLOOD,1190,12,8.05870769178427e-11,1.22452063376662e-07
AIZARANI_LIVER_C5_NK_NKT_CELLS_3 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C5_NK_NKT_CELLS_3,88,6,2.97532661956251e-10,3.01400586561683e-07
TLYMPHOCYTE | ARCHS4,ARCHS4,,,TLYMPHOCYTE,700,10,4.74693993350894e-10,3.60648761448342e-07
DENDRITIC CELL | ARCHS4,ARCHS4,,,DENDRITIC CELL,1112,11,1.19597444203538e-09,7.26913265869106e-07
BLOOD DENDRITIC CELLS | ARCHS4,ARCHS4,,,BLOOD DENDRITIC CELLS,917,10,4.40356827101567e-09,2.23040732926944e-06
AIZARANI_LIVER_C12_NK_NKT_CELLS_4 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C12_NK_NKT_CELLS_4,33,4,3.29064238500228e-08,1.42860888686028e-05
AIZARANI_LIVER_C1_NK_NKT_CELLS_1 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C1_NK_NKT_CELLS_1,103,5,8.13422556169693e-08,3.08998893524962e-05
CUI_DEVELOPING_HEART_C9_B_T_CELL | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_C9_B_T_CELL,116,5,1.78380602765724e-07,6.02331835338929e-05
HPCA_T_cells_CD8+ | Human | SaVanT,SaVanT,Human,,HPCA_T_cells_CD8+,50,4,1.98685100391989e-07,6.03804020091255e-05
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_NK_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_NK_CELLS,62,4,6.40553281980653e-07,0.000176967402176291
Goblet cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Goblet cell,233,5,6.81670322368713e-06,0.00170135428241619
Natural killer cell | Kidney | Mouse | CellMarker,CellMarker,Mouse,Kidney,Natural killer cell,34,3,7.27792223475171e-06,0.00170135428241619
IMGN_SC_GMP_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_SC_GMP_BM,50,3,1.8206112173723e-05,0.0034558035632756
HPCA_T_cells_gamma-delta | Human | SaVanT,SaVanT,Human,,HPCA_T_cells_gamma-delta,50,3,1.93315763658062e-05,0.0034558035632756
MA_NK_cells | Human | SaVanT,SaVanT,Human,,MA_NK_cells,50,3,1.93315763658062e-05,0.0034558035632756
NK cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,NK cells,51,3,1.93315763658062e-05,0.0034558035632756
HPCA_NK_cells | Human | SaVanT,SaVanT,Human,,HPCA_NK_cells,50,3,2.05019725097619e-05,0.00346141635873147
BONE MARROW (BULK TISSUE) | ARCHS4,ARCHS4,,,BONE MARROW (BULK TISSUE),916,7,2.26692632770935e-05,0.00362588900521512
NK cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,NK cells,58,3,3.00230430101096e-05,0.00456200138538615
CD4+ cytotoxic T cell | Liver | Human | CellMarker,CellMarker,Human,Liver,CD4+ cytotoxic T cell,57,3,3.31951876881837e-05,0.00480381787544715
CD4+ T CELL | ARCHS4,ARCHS4,,,CD4+ T CELL,1182,7,0.000138722348270392,0.0191626007451692
HAY_BONE_MARROW_NK_CELLS | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_NK_CELLS,264,4,0.000165328814960754,0.0218449682028579
LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB,285,4,0.000189461746261348,0.0239905936203432
FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL,94,3,0.000198123293247967,0.0240838675272229
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS,22,2,0.000237106704498916,0.0277141259604695
Plasma cells_BLUEPRINT_3 | Human | xCell,xCell,Human,,Plasma cells_BLUEPRINT_3,120,3,0.000249397552282503,0.0280710800513528
AIZARANI_LIVER_C3_NK_NKT_CELLS_2 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C3_NK_NKT_CELLS_2,120,3,0.000274696014316798,0.0298143281253124
NATURAL KILLER CELLS | ARCHS4,ARCHS4,,,NATURAL KILLER CELLS,1371,7,0.000303193828408576,0.0317726222252987
HAY_BONE_MARROW_DENDRITIC_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_DENDRITIC_CELL,143,3,0.000426158191072037,0.0431698247555974
Gamma delta T cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Gamma delta T cells,30,2,0.000444311863616574,0.0435568952751861
Leydig precursor cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Leydig precursor cell,168,3,0.000691785130535975,0.0449079179399484
CD34+ CELL | ARCHS4,ARCHS4,,,CD34+ CELL,1161,6,0.000873870692515994,0.0449079179399484
Blood | Human | TISSUES,TISSUES,Human,,Blood,1651,7,0.000899575916526405,0.0449079179399484
HAY_BONE_MARROW_CD8_T_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_CD8_T_CELL,43,2,0.0010019254058006,0.0449079179399484
Gamma delta T cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Gamma delta T cells,43,2,0.00104682489186428,0.0449079179399484
IMGN_DC_103+11b-_PolyIC_Lu | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_103+11b-_PolyIC_Lu,50,2,0.00123595836800774,0.0449079179399484
IMGN_DC_4+_MLN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_4+_MLN,50,2,0.00123595836800774,0.0449079179399484
IMGN_MLP_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_MLP_BM,50,2,0.00123595836800774,0.0449079179399484
IMGN_NK_49CI-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_49CI-_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_NK_49CI+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_49CI+_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_NK_49H-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_49H-_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_NK_49H+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_49H+_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_NK_b2m-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_b2m-_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_NK_DAP10-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_DAP10-_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_NK_DAP12-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_DAP12-_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_NK_H+_MCMV1_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_H+_MCMV1_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_NK_H+_MCMV7_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_H+_MCMV7_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_NK_MCMV1_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_MCMV1_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_NK_MCMV7_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_MCMV7_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_NK_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_preT_DN2_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_preT_DN2_Th,50,2,0.00123595836800774,0.0449079179399484
IMGN_preT_DN2A_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_preT_DN2A_Th,50,2,0.00123595836800774,0.0449079179399484
IMGN_preT_ETP_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_preT_ETP_Th,50,2,0.00123595836800774,0.0449079179399484
IMGN_SC_CDP_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_SC_CDP_BM,50,2,0.00123595836800774,0.0449079179399484
IMGN_SC_MDP_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_SC_MDP_BM,50,2,0.00123595836800774,0.0449079179399484
IMGN_T_8Eff_Sp_OT1_d10_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d10_LisOva,50,2,0.00123595836800774,0.0449079179399484
IMGN_T_8Eff_Sp_OT1_d15_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d15_LisOva,50,2,0.00123595836800774,0.0449079179399484
IMGN_T_8Eff_Sp_OT1_d15_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d15_VSVOva,50,2,0.00123595836800774,0.0449079179399484
IMGN_T_8Eff_Sp_OT1_d6_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d6_LisOva,50,2,0.00123595836800774,0.0449079179399484
IMGN_T_8Eff_Sp_OT1_d6_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d6_VSVOva,50,2,0.00123595836800774,0.0449079179399484
IMGN_T_8Eff_Sp_OT1_d8_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d8_LisOva,50,2,0.00123595836800774,0.0449079179399484
IMGN_T_8Eff_Sp_OT1_d8_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d8_VSVOva,50,2,0.00123595836800774,0.0449079179399484
IMGN_T_8Mem_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_LN,50,2,0.00123595836800774,0.0449079179399484
IMGN_T_8Mem_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_T_8Mem_Sp_OT1_d100_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d100_LisOva,50,2,0.00123595836800774,0.0449079179399484
IMGN_T_8Mem_Sp_OT1_d106_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d106_VSVOva,50,2,0.00123595836800774,0.0449079179399484
IMGN_T_8Mem_Sp_OT1_d45_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d45_LisOva,50,2,0.00123595836800774,0.0449079179399484
IMGN_T_8Mem_Sp_OT1_d45_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d45_VSVOva,50,2,0.00123595836800774,0.0449079179399484
IMGN_Tgd_vg1+vd6-24alo_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg1+vd6-24alo_Th,50,2,0.00123595836800774,0.0449079179399484
IMGN_Tgd_vg2-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2-_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_Tgd_vg2-_Sp_TCRbko | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2-_Sp_TCRbko,50,2,0.00123595836800774,0.0449079179399484
IMGN_Tgd_vg2+_act_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2+_act_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_Tgd_vg2+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2+_Sp,50,2,0.00123595836800774,0.0449079179399484
IMGN_Tgd_vg2+_Sp_TCRbko | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2+_Sp_TCRbko,50,2,0.00123595836800774,0.0449079179399484
IMGN_Tgd_vg5-_act_IEL | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg5-_act_IEL,50,2,0.00123595836800774,0.0449079179399484
IMGN_Tgd_vg5-_IEL | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg5-_IEL,50,2,0.00123595836800774,0.0449079179399484
IMGN_Tgd_vg5+_act_IEL | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg5+_act_IEL,50,2,0.00123595836800774,0.0449079179399484
IMGN_Tgd_vg5+_IEL | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg5+_IEL,50,2,0.00123595836800774,0.0449079179399484
MA_M_GMCSF_TNF_PGE2_72h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_TNF_PGE2_72h,50,2,0.00123595836800774,0.0449079179399484
mast_cells_IgE | SaVanT,SaVanT,,,mast_cells_IgE,50,2,0.00123595836800774,0.0449079179399484
CUI_DEVELOPING_HEART_C8_MACROPHAGE | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_C8_MACROPHAGE,196,3,0.00124055846582605,0.0449079179399484
LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB,206,3,0.00124055846582605,0.0449079179399484
MA_DC_upLPS_10_24h | Human | SaVanT,SaVanT,Human,,MA_DC_upLPS_10_24h,50,2,0.00128561660440129,0.0449079179399484
MA_M_GMCSF_IL4_upLPS_72h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_IL4_upLPS_72h,50,2,0.00128561660440129,0.0449079179399484
MF | SaVanT,SaVanT,,,MF,50,2,0.00128561660440129,0.0449079179399484
SJS | SaVanT,SaVanT,,,SJS,50,2,0.00128561660440129,0.0449079179399484
Plasma cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Plasma cells,53,2,0.00138777032888972,0.0479253866988166
