,B_cell,Erythrocyte,Macrophage,Monocyte,NK_cell,Neutrophil,Plasma,T_cell,cDC1
0,H19,2900026A02Rik,Slc11a1,Hoxa10,Cybb,Ifi213,Fat4,Vgll4,Kcnn4
1,Ralgps2,Ehbp1l1,Il1f9,Mest,Tmx4,Il10ra,Adamts1,Echdc2,Dgka
2,Isg20,Ets1,Pla2g7,Shroom3,Samd9l,Rab7b,Boc,Dock9,Ppp1r16b
3,Psg19,Lsmem1,Slc40a1,Slc38a4,Slc49a4,Emilin2,Mrc2,Eps8l2,Bbc3
4,Itga1,Ctla2b,Fgr,Mrc2,Fyb,Tbc1d9,Tgfb2,Cdkn1c,Gramd4
5,Rhox6,Tram2,Lsmem1,Myh11,Axl,Lrp1,Nrp1,S100a6,Sytl2
6,Nr2f2,Mest,Sla,Meg3,Ifi213,Grk3,Lhfp,Lamc1,Ifih1
7,Ace2,Asb4,F10,Bin1,Tbc1d9,Vps37b,Tns1,Ms4a4c,Plekha2
8,Ptpru,Cttn,Sgms2,C430049B03Rik,Rab7b,Kcnn4,Fhl1,H2-Aa,Stat5a
9,Svep1,Fat4,N4bp1,Tnk2,Rnf213,Cd86,Spsb1,Podxl,Itk
10,Lepr,Ceacam12,C3,Col4a1,Stap1,Itga4,Adam12,Krt19,Rgs10
11,Foxo4,Lmcd1,Fas,Ebf2,Il7r,Lgmn,Antxr1,Ccnd2,Sell
12,Pnpla7,Hsph1,St8sia4,Bmpr1a,Plek,Gramd4,Meg3,Bcar3,Vps37b
13,Hs3st1,Stk40,Jak2,Synpo2,Gk,Fgr,Cemip,Ppargc1a,Gm8369
14,Klf5,Mylk,Fcer1g,Sun2,Parp14,Ttc7,Slc38a4,Epcam,Casc4
15,S100a6,Flrt2,Acod1,Antxr1,Ptprc,Slc49a4,Myof,Cbfa2t3,Nr4a2
16,Ceacam12,Plagl1,Ankrd22,Cbx4,Cdk18,Foxp1,Unc5b,Il1rn,Tmx4
17,Lyst,Fryl,Rnf213,Fat4,Zc3h12c,Gpr132,Adamts2,Pou2af1,Itga4
18,Cdkn1c,Srgn,Itpkb,Arhgef12,Gm34084,Bin1,Ltbp2,Ifit3,Madd
19,Dok3,Col4a2,Wdfy4,Arhgef17,Neurl3,Itga5,Bin1,Pkib,Ivns1abp
20,Dhx40,C430049B03Rik,Fyb,Unc5b,Rsad2,Cxcl16,Plpp3,Satb1,H2-Q6
21,Dcn,Zcchc14,Slc8b1,Tgfb2,Ifih1,Stk10,C430049B03Rik,Ly86,Map3k1
22,Lmcd1,Arhgef12,Malt1,Crim1,Slc15a3,Smarca4,Bmpr1a,Shroom4,Arhgap45
23,Gm47283,Hbegf,Ptpre,Osmr,Sun2,Slc8b1,Prnp,Ighd,Gpr132
24,Swap70,Ebf1,Arg2,Plpp3,Rel,Ahr,Plpp1,Trpm6,Dgat1
25,Peg10,Rhox6,Rel,Casc4,Slc6a6,Dock11,Maf,Gucy1a1,Fyb
26,Psg18,Maf,Dock11,Rnf213,Ssh2,Gm20559,Tbx2,Ablim1,Cpm
27,Ehbp1l1,Rnf11,Gk,Adam12,Atg2a,Rnf213,Cped1,Itgam,Nfkbid
28,Nid1,Col4a1,Malat1,Col5a1,Runx3,Jak2,Rell1,Cmtm4,Runx3
29,Slfn4,Rasgrp3,Itga4,Adamts9,Nrp2,Zc3h12c,Dock11,Tpbpb,Ceacam13
30,Pls3,Crim1,Slc15a3,Fam91a1,Iqgap2,Cd44,Arhgef12,Pax5,Tnfaip3
31,Rapgef5,Spsb1,Dleu2,Col5a2,Cd86,Ssh2,Fn1,H2-Q6,Cbx4
32,Cdh3,Ppp1r16b,Anxa3,Rnf11,Myof,Resf1,Akap9,Blk,Smarca4
33,Sorl1,Cpe,Myo1f,Cav1,Mef2c,Arhgap45,Zcchc14,Itgb2,Lrmp
34,Mylk,Sct,Gfod1,Fn1,Nrp1,Malt1,Cav1,Ms4a6b,Gimap6
35,Col12a1,Gripap1,Traf1,Gpc3,Glcci1,Myo9b,Tnc,Pappa2,S1pr1
36,Myh11,Kank2,Tbc1d1,Zcchc14,Lrp1,Por,Cttn,Myo1f,Rhoh
37,N4bp1,Nfatc1,Gda,Col4a2,Slc8b1,Tbc1d1,Col1a2,Epb41l3,Rell1
38,Gucy1a1,Kit,Il1b,Kank2,Traf1,Gda,Hsph1,Klf5,Ms4a6b
39,Ifit3,Cyp4f18,Il1r2,Plagl1,Cd44,Rell1,Hbegf,Hkdc1,Atm
40,Ceacam13,Prss12,Iqgap2,Madd,Resf1,Parp14,Col5a2,Adgrg6,Gm20559
