cluster	SingleR	scCATCH	clustermole	celltype
0	B_cell(B_cells)	MKI67+ progenitor cell(Progenitors)	Th2 cells_IRIS_2(Th2 cells_IRIS_2)|ZHONG_PFC_C3_UNKNOWN_INP(ZHONG_PFC_C3_UNKNOWN_INP)|B-cells_FANTOM_2(B_cells)|FAN_EMBRYONIC_CTX_MICROGLIA_1(FAN_EMBRYONIC_CTX_MICROGLIA_1)|GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS(GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS)	B_cells
1	T_cell(T_cells)	Paneth cell(Paneth_cells)	Natural killer T (NKT) cell(T_cells)|CD8+ T cell(T_cells)|Natural killer cell(Natural_killer_cells)|Exhausted T cell(T_cells)|T cell (AIDS-related Non-hodgkin's Lymphoma)(T_cells)	T_cells
2	B_cell(B_cells)	Paneth cell(Paneth_cells)	B-cells_HPCA_2(B_cells)|B-cells_FANTOM_1(B_cells)|B-cells_FANTOM_2(B_cells)|DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_B_CELLS(B_cells)|naive B-cells_BLUEPRINT_2(B_cells)	B_cells
3	RSPO3_fibroblast(undefined)	DCLK1+ progenitor cell(Progenitors)	GAO_SMALL_INTESTINE_24W_C2_PROCRPOS_PROGENITOR(Progenitors)|PROCR+ progenitor cell(Progenitors)|Kidney progenitor cells(Progenitors)|CUI_DEVELOPING_HEART_SMOOTH_MUSCLE_CELL(CUI_DEVELOPING_HEART_SMOOTH_MUSCLE_CELL)|Liver stem cell (Hepatocellular Carcinoma)(Stem_cells)	Progenitors
4	Plasma(Plasma)	NA(undefined)	Plasma cells_BLUEPRINT_1(Plasma_cells)|Cancer stem cell (Multiple Myeloma)(Stem_cells)|DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PLASMA_CELLS(Epithelial_cells)|Plasma cells_HPCA_3(Plasma_cells)|Plasma cells_IRIS_3(Plasma_cells)	Plasma_cells
5	Monocyte(Monocytes)	Paneth cell(Paneth_cells)	Kupffer cell(Kupffer_cells)|Monocytes_BLUEPRINT_1(Monocytes)|Monocytes_BLUEPRINT_3(Monocytes)|Neutrophils_HPCA_3(Neutrophils)|Monocytes_BLUEPRINT_2(Monocytes)	Monocytes
6	Endothelial(undefined)	MKI67+ progenitor cell(Progenitors)	Endothelial cells_BLUEPRINT_1(Endothelial_cells)|Endothelial cells_BLUEPRINT_2(Endothelial_cells)|Endothelial cell(Endothelial_cells)|ly Endothelial cells_HPCA_1(Endothelial_cells)|ly Endothelial cells_HPCA_3(Endothelial_cells)	Endothelial_cells
7	Smooth_muscle(undefined)	DCLK1+ progenitor cell(Progenitors)|MKI67+ progenitor cell(Progenitors)	Myofibroblasts(Fibroblasts)|DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_VASCULAR_SMOOTH_MUSCLE_CELLS(Epithelial_cells)|Smooth muscle cell(Smooth_muscle_cells)|GAO_LARGE_INTESTINE_24W_C4_PROM1LOW_PROGENITOR(Progenitors)|PROM1Low progenitor cell(Progenitors)	Progenitors
8	Myofibroblast(Myofibroblasts)	NA(undefined)	Myofibroblasts(Fibroblasts)|GAO_LARGE_INTESTINE_24W_C4_PROM1LOW_PROGENITOR(Progenitors)|PROM1Low progenitor cell(Progenitors)|Smooth muscle cell(Smooth_muscle_cells)|Jejunum(Jejunum)	Progenitors
9	Fibroblast1(undefined)	DCLK1+ progenitor cell(Progenitors)	DCLK1+ progenitor cell(Progenitors)|GAO_LARGE_INTESTINE_24W_C1_DCLK1POS_PROGENITOR(Progenitors)|CUI_DEVELOPING_HEART_C3_FIBROBLAST_LIKE_CELL(Fibroblasts)|Lake et al.Science.Ex5(Lake_et_al.Science.Ex5s)|Chondrocytes_HPCA_2(Chondrocytes)	Progenitors
